Entity,name,info 1,username,password,,,,,,
doctor,Dr. Doctor 1,General,doc_1,1234,,,,,,
doctor,Dr. Doctor 2,Med. Interna,doc_2,1234,,,,,,Doctor
doctor,Dr. Doctor 3,General,doc_3,1234,,,,,,
doctor,Dr. Doctor 4,General,,,,,,,,
doctor,Dr. Doctor 5,Cardiologia,doc_5,1234,,,,,,
doctor,Dr. Doctor 6,Med. Interna,,,,,,,,
patient,A. Pacient,1234-567-890,patient_1,5678,,,,,,
patient,B. Pacient,1234-567-890,patient_2,5678,,,,,,
patinet,C. Pacient,1234-567-890,patient_3,5678,,,,,,
patient,D. Pacient,1234-567-890,patient_4,5678,,,,,,
patient,E. Pacient,1234-567-890,patient_5,5678,,,,,,
patinet,F. Pacient,1234-567-890,patient_6,5678,,,,,,
clinic,La Clinica 1,C. principal 22; ciutat,,,,,,,,
clinic,Una Altra Clinica,Avda Secundarioa 44; ciutat2,,,,,,,,
clinic,La super Clinica,C. Aquí 34; la ciutat,,,,,,,,
patient,G. Pacient,1234-567-890,,,,,,,,
admin,admin_1,admin,,,,,,,,
admin,admin_2,admin,,,,,,,,
assistant,assis_1,assist,,,,,,,,
assistant,assis_2,assist,,,,,,,,
assistant,assis_3,assist,,,,,,,,
